stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
134401,PA525,CAMARREAL 40,Parada,43.4472716459753,-3.86725688731296,,,,,Europe/Madrid
22529,PA88,CAMARREAL 68,Parada,43.4464236508606,-3.87016826599692,,,,,Europe/Madrid
90369,PA353,CAMARREAL 136,Parada,43.4441883639949,-3.87553106655961,,,,,Europe/Madrid
22785,PA89,DEPOSITO MUNICIPAL,Parada,43.441377154781,-3.87781863965064,,,,,Europe/Madrid
23041,PA90,BARRIO LAS TEJERAS,Parada,43.438876592305,-3.87823856967846,,,,,Europe/Madrid
13825,PA54,BARRIO DE OJAIZ 7,Parada,43.4413827477806,-3.88164356632304,,,,,Europe/Madrid
114433,PA447,OJAIZ 166,Parada,43.4407359105867,-3.88569351588237,,,,,Europe/Madrid
114177,PA446,OJAIZ 89,Parada,43.4407204954925,-3.88545170749376,,,,,Europe/Madrid
90881,PA355,OJAIZ,Parada,43.4416956613531,-3.88037974690838,,,,,Europe/Madrid
90113,PA352,CAMARREAL 135,Parada,43.4443596257244,-3.87518998605196,,,,,Europe/Madrid
14337,PA56,CAMARREAL 109,Parada,43.4462294753789,-3.87051695286424,,,,,Europe/Madrid
134657,PA526,CAMARREAL 51,Parada,43.4471267495047,-3.86736604327333,,,,,Europe/Madrid
14593,PA57,IGLESIA LA PEÑA,Parada,43.447745840546,-3.86408996422588,,,,,Europe/Madrid
14849,PA58,PEÑACASTILLO ESCUELAS,Parada,43.447487712336,-3.86049352237241,,,,,Europe/Madrid
15105,PA59,LOS LLANOS,Parada,43.4479546015965,-3.85789134731379,,,,,Europe/Madrid
15361,PA60,EL EMPALME,Parada,43.4487320176642,-3.85335749546391,,,,,Europe/Madrid
15617,PA61,CAMPOGIRO 23,Parada,43.4509556423844,-3.84909811251037,,,,,Europe/Madrid
15873,PA62,CAMPOGIRO,Parada,43.453576629961,-3.84608277783044,,,,,Europe/Madrid
16129,PA63,CAMPOGIRO 5,Parada,43.4544756262832,-3.84237470188062,,,,,Europe/Madrid
16385,PA64,CAJO 17,Parada,43.4541060698876,-3.83826174336484,,,,,Europe/Madrid
16641,PA65,CAJO 5,Parada,43.4548531317524,-3.83375828145695,,,,,Europe/Madrid
66817,PA261,CASIMIRO SAINZ 6,Parada,43.4641081528635,-3.79654550175521,,,,,Europe/Madrid
17665,PA69,UIMP,Parada,43.4719420188181,-3.79562890788898,,,,,Europe/Madrid
17921,PA70,ESCUELA DE CAMINOS,Parada,43.4711745747024,-3.79941230884509,,,,,Europe/Madrid
18177,PA71,INTERFACULTATIVO,Parada,43.4704145730722,-3.80345138508466,,,,,Europe/Madrid
18433,PA72,RECTORADO,Parada,43.4701261812883,-3.80573933299104,,,,,Europe/Madrid
56065,PA219,AVENIDA LOS CASTROS 83,Parada,43.4697189241685,-3.80758888570956,,,,,Europe/Madrid
18689,PA73,LOS CASTROS 63,Parada,43.4702825553504,-3.80345359204674,,,,,Europe/Madrid
18945,PA74,PARQUE LA TEJA,Parada,43.471123479622,-3.7989802755046,,,,,Europe/Madrid
19201,PA75,LOS CASTROS 53,Parada,43.4717896489735,-3.79552800004326,,,,,Europe/Madrid
19457,PA76,CASIMIRO SAINZ 9,Parada,43.4641391710265,-3.79673306975394,,,,,Europe/Madrid
133889,PA523,MIRANDA,Parada,43.4686560251148,-3.78774770282693,,,,,Europe/Madrid
28417,PA111,MENENDEZ PELAYO 97,Parada,43.4672240829759,-3.79207345206302,,,,,Europe/Madrid
