route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
71,24071ILA_7103,24071ILA_7103_4,L.QUINTANILLA,0,,Route_195
71,24071ILA_7103,24071ILA_7103_5,L.QUINTANILLA,0,,Route_195
71,24071ILA_7103,24071ILA_7103_6,L.QUINTANILLA,0,,Route_195
71,24071ILA_7103,24071ILA_7103_7,L.QUINTANILLA,0,,Route_195
71,24071ILA_7103,24071ILA_7103_8,L.QUINTANILLA,0,,Route_195
71,24071ILA_7103,24071ILA_7103_9,L.QUINTANILLA,0,,Route_195
71,24071ILA_7113,24071ILA_7113_2,L.QUINTANILLA,0,,Route_195
71,24071ILA_7113,24071ILA_7113_3,L.QUINTANILLA,0,,Route_195
71,24071ILA_7113,24071ILA_7113_4,L.QUINTANILLA,0,,Route_195
71,24071ILA_7113,24071ILA_7113_5,L.QUINTANILLA,0,,Route_195
71,24071ILA_7113,24071ILA_7113_6,L.QUINTANILLA,0,,Route_195
71,24071ILA_7113,24071ILA_7113_7,L.QUINTANILLA,0,,Route_195
71,24071ILA_7113,24071ILA_7113_8,L.QUINTANILLA,0,,Route_195
71,24071ILA_7113,24071ILA_7113_9,L.QUINTANILLA,0,,Route_195
72,24072ILA_7201,24072ILA_7201_2,L.QUINTANILLA por TUNEL,0,,Route_197
72,24072ILA_7201,24072ILA_7201_3,L.QUINTANILLA por TUNEL,0,,Route_197
72,24072ILA_7201,24072ILA_7201_4,L.QUINTANILLA por TUNEL,0,,Route_197
72,24072ILA_7201,24072ILA_7201_5,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7201,24072ILA_7201_6,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7201,24072ILA_7201_7,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7201,24072ILA_7201_8,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7201,24072ILA_7201_9,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7201,24072ILA_7201_10,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7201,24072ILA_7201_11,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7201,24072ILA_7201_12,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7201,24072ILA_7201_13,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7201,24072ILA_7201_14,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7201,24072ILA_7201_15,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7201,24072ILA_7201_16,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7201,24072ILA_7201_17,L.QUINTANILLA por SARDINERO,0,,Route_196
4,24072ILA_7201,24072ILA_7201_18,BARRIO PESQUERO,0,,Route_185
4,24072ILA_7201,24072ILA_7201_19,INTERCAMBIADOR SARDINERO,1,,Route_186
72,24072ILA_7202,24072ILA_7202_2,L.QUINTANILLA por TUNEL,0,,Route_197
72,24072ILA_7202,24072ILA_7202_3,L.QUINTANILLA por TUNEL,0,,Route_197
72,24072ILA_7202,24072ILA_7202_4,L.QUINTANILLA por SARDINERO,0,,Route_196
72,24072ILA_7202,24072ILA_7202_5,L.QUINTANILLA por SARDINERO,0,,Route_196
